a \ b  | 0.25 0.44 0.64 0.83 1.03 1.22 1.42 1.61
_______|________________________________________
10.00  | 0.70 0.70 0.70 0.75 0.70 0.65 0.65 0.65
20.00  | 0.70 0.70 0.75 0.70 0.70 0.70 0.70 0.70
30.00  | 0.55 0.70 0.70 0.70 0.70 0.70 0.70 0.65
40.00  | 0.40 0.70 0.70 0.70 0.70 0.65 0.60 0.60
50.00  | 0.40 0.65 0.70 0.70 0.60 0.60 0.60 0.60
60.00  | 0.45 0.60 0.65 0.65 0.65 0.60 0.60 0.60
70.00  | 0.45 0.60 0.65 0.65 0.65 0.65 0.60 0.60
80.00  | 0.45 0.55 0.60 0.65 0.65 0.65 0.65 0.65
90.00  | 0.45 0.50 0.60 0.65 0.65 0.65 0.65 0.65
100.00 | 0.45 0.45 0.55 0.60 0.65 0.65 0.65 0.65
